id_salarié,Sexe,Date_naissance,Etat Civil,Enfants
16920105-1209,F,1955-07-07,Célibataire,1
16661123-8764,H,1970-09-22,Célibataire,3
16230718-4297,F,1965-03-01,Marié,1
16130305-6954,F,1963-09-02,Not specified,1
16360125-5924,F,1959-04-02,Marié,3
16520612-7770,F,1960-12-18,Célibataire,2
16860412-1965,H,1975-10-18,Marié,1
16551001-4151,F,1970-11-03,Marié,2
16220420-6227,H,1975-02-05,Not specified,0
16550904-2932,F,1969-05-14,Célibataire,3
16350127-5733,H,1966-03-22,Célibataire,3
16080130-8107,H,1974-05-13,Not specified,0
16390301-2403,H,1960-11-25,Marié,3
16861012-1389,H,1968-06-26,Célibataire,2
16800116-6613,H,1959-11-30,Célibataire,1
16050619-6252,F,1968-11-19,Célibataire,2
16750302-5590,F,1977-11-13,Not specified,1
16390127-6224,F,1965-10-25,Not specified,1
16050210-5695,F,1965-12-18,Marié,1
16851208-5567,H,1972-03-31,Célibataire,0
16560103-9174,H,1959-10-15,Not specified,1
16341230-0471,H,1967-12-06,Not specified,2
16370212-9440,H,1974-11-04,Marié,3
16920713-6616,H,1971-08-12,Marié,1
16571101-6617,H,1968-02-26,Célibataire,1
16031007-1667,F,1974-10-06,Not specified,0
16730908-9915,F,1956-02-26,Marié,1
16560730-2626,H,1957-12-14,Not specified,1
16880121-1056,H,1969-10-23,Marié,1
16431025-4026,H,1977-06-23,Célibataire,0
16560122-3612,H,1976-05-15,Marié,0
16341225-2086,F,1974-09-22,Marié,3
16320710-7636,H,1960-03-26,Marié,2
16560125-0110,H,1979-02-23,Marié,1
16990924-2829,F,1976-02-18,Marié,3
16931211-0175,F,1965-02-04,Not specified,3
16781122-5775,H,1970-04-22,Marié,2
16601210-4086,F,1973-11-16,Marié,1
16590417-5196,H,1967-02-27,Not specified,0
16431129-7214,F,1971-04-19,Not specified,3
16500514-6310,F,1975-04-13,Marié,0
16451112-4747,F,1968-05-14,Not specified,1
16970415-1050,H,1963-10-25,Marié,3
16721116-8286,H,1968-08-03,Marié,2
16590918-0399,H,1974-02-10,Marié,2
16381004-1917,H,1960-08-09,Célibataire,0
16211102-1297,H,1969-09-13,Célibataire,0
16721204-5277,H,1970-11-03,Célibataire,2
16340716-8222,H,1979-04-28,Marié,3
16421009-6154,F,1974-03-20,Célibataire,2
16520121-8566,F,1980-06-05,Marié,0
16700930-1784,H,1976-08-04,Not specified,0
16491209-6288,H,1978-11-01,Not specified,0
16060812-9664,H,1956-07-02,Marié,0
16710204-1402,H,1979-04-28,Marié,0
16620606-6349,H,1974-03-13,Not specified,1
16940414-0312,F,1979-01-19,Not specified,3
16430518-1481,F,1957-07-05,Célibataire,1
16691022-5702,H,1961-10-23,Marié,1
16400410-2770,H,1965-04-04,Célibataire,2
16931009-2151,H,1963-04-19,Marié,0
16090608-0239,F,1966-03-03,Marié,2
16530329-9431,F,1969-08-18,Célibataire,0
16301226-6122,H,1954-12-07,Not specified,1
16650614-4689,F,1966-11-02,Marié,3
16200506-8370,H,1971-10-08,Célibataire,2
16230105-6343,H,1965-03-21,Marié,0
16240230-3065,H,1962-10-04,Célibataire,0
16400510-0542,H,1965-01-09,Célibataire,3
16760706-4982,H,1979-10-06,Not specified,1
16950514-2464,H,1979-03-09,Not specified,2
16460821-8733,H,1969-12-31,Not specified,1
16100424-1459,H,1981-07-15,Célibataire,3
16050721-8014,F,1955-07-03,Marié,3
16850330-5826,H,1974-01-31,Marié,2
16030828-8604,F,1970-04-29,Not specified,1
16960619-9017,H,1976-06-26,Célibataire,0
16820517-1112,F,1972-12-02,Not specified,1
16190724-3065,H,1981-06-19,Marié,0
16311229-8504,F,1972-10-04,Marié,0
16621028-8244,F,1981-10-22,Marié,3
16600919-9578,H,1981-07-16,Célibataire,1
16820319-6442,H,1968-12-16,Célibataire,2
16820525-6301,H,1976-07-20,Not specified,0
16440819-3466,F,1981-02-25,Marié,1
16220127-8625,H,1973-07-02,Célibataire,2
16680515-6269,F,1977-06-19,Not specified,2
16100719-6502,F,1983-09-27,Célibataire,0
16630411-0916,H,1965-11-19,Not specified,3
16910902-6667,F,1955-03-03,Célibataire,2
16111130-1717,H,1984-09-10,Not specified,3
16170623-3887,F,1962-06-29,Célibataire,2
16741025-9738,F,1984-03-19,Not specified,2
16490707-4639,F,1968-05-04,Célibataire,1
16181217-7101,F,1969-11-06,Not specified,2
16720411-0782,F,1968-08-10,Marié,2
16250316-9381,F,1973-10-19,Marié,0
16910501-3081,F,1968-08-18,Marié,0
16820814-8992,H,1968-01-11,Not specified,3
16710920-7451,F,1983-08-14,Marié,1
16850430-6617,H,1956-06-19,Not specified,1
16540514-9153,H,1963-03-30,Célibataire,0
16830122-2462,H,1961-01-05,Marié,0
16900402-0286,H,1960-01-26,Célibataire,2
16400112-6921,H,1960-03-14,Marié,1
16920528-2461,H,1979-09-12,Célibataire,2
16080824-2457,H,1973-06-26,Not specified,2
16320923-9437,F,1963-05-28,Célibataire,0
16310121-8257,H,1963-04-23,Not specified,0
16410421-3634,F,1962-02-15,Célibataire,3
16021125-4271,H,1971-02-20,Célibataire,2
16320910-2411,H,1963-06-24,Marié,3
16170310-5534,F,1967-05-17,Marié,3
16600811-0956,H,1965-02-12,Célibataire,3
16221207-5101,H,1971-04-21,Célibataire,0
16260907-1895,F,1983-12-16,Marié,1
16330528-4048,F,1982-06-04,Not specified,1
16110307-6129,F,1970-07-19,Not specified,3
16290605-1228,H,1980-09-09,Marié,3
16101212-2048,H,1963-02-15,Marié,0
16460901-9957,F,1968-08-05,Marié,0
16080411-7877,H,1962-03-13,Célibataire,3
16460901-5575,H,1956-09-14,Not specified,2
16111023-3358,H,1957-07-27,Marié,3
16920917-6040,H,1970-03-23,Célibataire,1
16470418-3807,H,1970-07-25,Célibataire,0
16981206-3817,F,1970-01-19,Not specified,1
16710125-5136,F,1981-07-27,Not specified,1
16640715-7632,H,1962-11-22,Marié,3
16000206-8278,F,1958-12-07,Not specified,2
16460313-0032,F,1955-02-10,Marié,0
16181114-4680,F,1974-10-16,Not specified,0
16600521-9024,H,1969-09-09,Marié,1
16580220-7323,H,1989-04-05,Marié,0
16910810-9712,H,1969-02-18,Not specified,1
16661124-0695,F,1976-11-16,Célibataire,0
16020327-1465,F,1973-08-19,Célibataire,3
16610809-8713,F,1982-02-10,Marié,1
16411102-7886,H,1985-03-18,Marié,1
16011205-0331,F,1957-04-23,Célibataire,2
16560624-9059,F,1963-09-23,Not specified,0
16500419-9062,F,1983-10-08,Not specified,1
16620412-8323,F,1979-11-16,Célibataire,2
16720410-2094,F,1971-04-10,Célibataire,3
16990414-3527,H,1955-07-01,Célibataire,0
16370717-6461,F,1977-12-14,Marié,2
16740413-0572,H,1987-06-30,Marié,0
16360908-7378,F,1984-02-28,Célibataire,3
16560416-4227,F,1975-09-21,Marié,0
16960628-0338,H,1968-11-07,Not specified,0
16760117-3029,F,1958-01-26,Not specified,1
16090206-9129,F,1961-09-02,Célibataire,1
16100606-3398,H,1980-06-12,Marié,0
16890714-6248,H,1966-10-12,Marié,0
16020701-3376,F,1981-10-09,Célibataire,1
16461115-9486,H,1977-10-12,Marié,1
16611004-8219,F,1978-04-11,Célibataire,2
16550903-3725,H,1985-03-27,Not specified,3
16610722-2223,H,1971-05-03,Célibataire,2
16090824-7661,H,1987-02-06,Célibataire,2
16340806-9395,F,1965-01-04,Marié,0
16450910-7050,F,1968-03-07,Célibataire,3
16660325-6006,F,1958-11-15,Not specified,1
16731208-8904,H,1987-05-23,Célibataire,0
16420625-3827,H,1974-02-08,Marié,0
16310403-3810,F,1966-09-07,Célibataire,0
16820822-2953,F,1991-01-30,Not specified,2
16581203-8213,H,1967-06-19,Marié,2
16700908-2889,H,1979-01-06,Marié,2
16891013-6921,H,1955-07-16,Not specified,3
16810204-2564,F,1971-02-26,Not specified,1
16081120-1045,F,1964-10-17,Célibataire,3
16430903-4405,F,1963-03-08,Marié,3
16421204-6850,H,1957-02-19,Not specified,3
16021124-8356,F,1966-10-06,Not specified,1
16910826-9763,F,1971-12-09,Célibataire,1
16720627-1632,H,1984-02-13,Marié,1
16431030-6354,H,1980-06-13,Marié,3
