id_salarié,Sexe,Date_naissance,Etat Civil,Enfants
16920105-1209,F,7/7/1955,Célibataire,1
16661123-8764,H,9/22/1970,Célibataire,3
16230718-4297,F,3/1/1965,Marié,1
16130305-6954,F,9/2/1963,NA,1
16360125-5924,F,4/2/1959,Marié,3
16520612-7770,F,12/18/1960,Célibataire,2
16860412-1965,H,10/18/1975,Marié,1
16551001-4151,F,11/3/1970,Marié,2
16220420-6227,H,2/5/1975,NA,0
16550904-2932,F,5/14/1969,Célibataire,3
16350127-5733,H,3/22/1966,Célibataire,3
16080130-8107,H,5/13/1974,NA,0
16390301-2403,H,11/25/1960,Marié,3
16861012-1389,H,6/26/1968,Célibataire,2
16800116-6613,H,11/30/1959,Célibataire,1
16050619-6252,F,11/19/1968,Célibataire,2
16750302-5590,F,11/13/1977,NA,1
16390127-6224,F,10/25/1965,NA,1
16050210-5695,F,12/18/1965,Marié,1
16851208-5567,H,3/31/1972,Célibataire,0
16560103-9174,H,10/15/1959,NA,1
16341230-0471,H,12/6/1967,NA,2
16370212-9440,H,11/4/1974,Marié,3
16920713-6616,H,8/12/1971,Marié,1
16571101-6617,H,2/26/1968,Célibataire,1
16031007-1667,F,10/6/1974,NA,0
16730908-9915,F,2/26/1956,Marié,1
16560730-2626,H,12/14/1957,NA,1
16880121-1056,H,10/23/1969,Marié,1
16431025-4026,H,6/23/1977,Célibataire,0
16560122-3612,H,5/15/1976,Marié,0
16341225-2086,F,9/22/1974,Marié,3
16320710-7636,H,3/26/1960,Marié,2
16560125-0110,H,2/23/1979,Marié,1
16990924-2829,F,2/18/1976,Marié,3
16931211-0175,F,2/4/1965,NA,3
16781122-5775,H,4/22/1970,Marié,2
16601210-4086,F,11/16/1973,Marié,1
16590417-5196,H,2/27/1967,NA,0
16431129-7214,F,4/19/1971,NA,3
16500514-6310,F,4/13/1975,Marié,0
16451112-4747,F,5/14/1968,NA,1
16970415-1050,H,10/25/1963,Marié,3
16721116-8286,H,8/3/1968,Marié,2
16590918-0399,H,2/10/1974,Marié,2
16381004-1917,H,8/9/1960,Célibataire,0
16211102-1297,H,9/13/1969,Célibataire,0
16721204-5277,H,11/3/1970,Célibataire,2
16340716-8222,H,4/28/1979,Marié,3
16421009-6154,F,3/20/1974,Célibataire,2
16520121-8566,F,6/5/1980,Marié,0
16700930-1784,H,8/4/1976,NA,0
16491209-6288,H,11/1/1978,NA,0
16060812-9664,H,7/2/1956,Marié,0
16710204-1402,H,4/28/1979,Marié,0
16620606-6349,H,3/13/1974,NA,1
16940414-0312,F,1/19/1979,NA,3
16430518-1481,F,7/5/1957,Célibataire,1
16691022-5702,H,10/23/1961,Marié,1
16400410-2770,H,4/4/1965,Célibataire,2
16931009-2151,H,4/19/1963,Marié,0
16090608-0239,F,3/3/1966,Marié,2
16530329-9431,F,8/18/1969,Célibataire,0
16301226-6122,H,12/7/1954,NA,1
16650614-4689,F,11/2/1966,Marié,3
16200506-8370,H,10/8/1971,Célibataire,2
16230105-6343,H,3/21/1965,Marié,0
16240230-3065,H,10/4/1962,Célibataire,0
16400510-0542,H,1/9/1965,Célibataire,3
16760706-4982,H,10/6/1979,NA,1
16950514-2464,H,3/9/1979,NA,2
16460821-8733,H,12/31/1969,NA,1
16100424-1459,H,7/15/1981,Célibataire,3
16050721-8014,F,7/3/1955,Marié,3
16850330-5826,H,1/31/1974,Marié,2
16030828-8604,F,4/29/1970,NA,1
16960619-9017,H,6/26/1976,Célibataire,0
16820517-1112,F,12/2/1972,NA,1
16190724-3065,H,6/19/1981,Marié,0
16311229-8504,F,10/4/1972,Marié,0
16621028-8244,F,10/22/1981,Marié,3
16600919-9578,H,7/16/1981,Célibataire,1
16820319-6442,H,12/16/1968,Célibataire,2
16820525-6301,H,7/20/1976,NA,0
16440819-3466,F,2/25/1981,Marié,1
16220127-8625,H,7/2/1973,Célibataire,2
16680515-6269,F,6/19/1977,NA,2
16100719-6502,F,9/27/1983,Célibataire,0
16630411-0916,H,11/19/1965,NA,3
16910902-6667,F,3/3/1955,Célibataire,2
16111130-1717,H,9/10/1984,NA,3
16170623-3887,F,6/29/1962,Célibataire,2
16741025-9738,F,3/19/1984,NA,2
16490707-4639,F,5/4/1968,Célibataire,1
16181217-7101,F,11/6/1969,NA,2
16720411-0782,F,8/10/1968,Marié,2
16250316-9381,F,10/19/1973,Marié,0
16910501-3081,F,8/18/1968,Marié,0
16820814-8992,H,1/11/1968,NA,3
16710920-7451,F,8/14/1983,Marié,1
16850430-6617,H,6/19/1956,NA,1
16540514-9153,H,3/30/1963,Célibataire,0
16830122-2462,H,1/5/1961,Marié,0
16900402-0286,H,1/26/1960,Célibataire,2
16400112-6921,H,3/14/1960,Marié,1
16920528-2461,H,9/12/1979,Célibataire,2
16080824-2457,H,6/26/1973,NA,2
16320923-9437,F,5/28/1963,Célibataire,0
16310121-8257,H,4/23/1963,NA,0
16410421-3634,F,2/15/1962,Célibataire,3
16021125-4271,H,2/20/1971,Célibataire,2
16320910-2411,H,6/24/1963,Marié,3
16170310-5534,F,5/17/1967,Marié,3
16600811-0956,H,2/12/1965,Célibataire,3
16221207-5101,H,4/21/1971,Célibataire,0
16260907-1895,F,12/16/1983,Marié,1
16330528-4048,F,6/4/1982,NA,1
16110307-6129,F,7/19/1970,NA,3
16290605-1228,H,9/9/1980,Marié,3
16101212-2048,H,2/15/1963,Marié,0
